,Word,V,A,D
14383,filiation,4.906666666666666,4.025833333333333,4.595833333333332
14384,stemma,5.251960784313726,3.9207843137254903,5.227647058823528
14385,parentage,5.314035087719298,4.050526315789473,5.22701754385965
14386,derivation,5.326666666666666,3.918888888888889,4.665555555555556
14387,keystone,5.304545454545456,3.8790909090909085,5.505909090909091
14388,anchorman,5.2,3.24,5.73
14389,linchpin,5.331111111111111,3.503333333333334,5.607777777777777
14390,mainstay,5.308333333333334,3.5666666666666664,5.504166666666666
14391,lynchpin,5.331111111111111,3.503333333333334,5.607777777777777
14392,anchorperson,5.2,3.24,5.73
14393,Anchorage,5.09,3.82,5.8
14394,antediluvian,5.468,4.086,4.668
14395,anaemia,3.05,4.09,3.55
14396,Anemia,3.05,4.09,3.55
14397,anaemic,3.45,3.45,3.14
14398,anaesthesia,4.84,3.64,2.95
14399,anesthetist,4.95,3.56,3.68
14400,anaesthetist,4.95,3.56,3.68
14401,anaesthetic,5.48,3.23,4.72
14402,aneurism,2.5,5.38,2.7
14403,Angel,6.28,3.75,5.780000000000001
14404,saintlike,6.5725,3.835,6.0425
14405,beatific,6.5725,3.835,6.0425
14406,angelical,6.7,4.139,5.961
14407,cherubic,6.7333333333333325,4.2122222222222225,5.9766666666666675
14408,saintly,6.5725,3.835,6.0425
14409,seraphic,6.7333333333333325,4.2122222222222225,5.9766666666666675
14410,ira,2.8449999999999998,5.9399999999999995,4.75
14411,ire,2.8449999999999998,5.9399999999999995,4.75
14412,choler,2.8449999999999998,5.9399999999999995,4.75
14413,angriness,2.8449999999999998,5.9399999999999995,4.75
14414,Angle,5.3742857142857146,3.808571428571429,5.694285714285714
14415,Ankara,,,
14416,Angora,,,
14417,tempestuous,4.04625,5.033333333333333,4.547083333333336
14418,tormented,2.5925,5.297499999999999,3.5874999999999995
14419,tortured,2.5925,5.297499999999999,3.5874999999999995
14420,fleshly,5.661428571428572,5.084285714285714,5.378571428571428
14421,reanimate,6.196666666666665,4.411666666666666,5.940416666666668
14422,enliven,6.267857142857143,4.730714285714285,6.1135714285714275
14423,renovate,6.196666666666665,4.411666666666666,5.940416666666668
14424,animise,6.308571428571429,4.912857142857143,6.314285714285715
14425,vivify,6.196666666666665,4.411666666666666,5.940416666666668
14426,animize,6.308571428571429,4.912857142857143,6.314285714285715
14427,animate,6.140967741935483,4.388064516129031,5.9061290322580655
14428,invigorate,6.267857142857143,4.730714285714285,6.1135714285714275
14429,revivify,6.196666666666665,4.411666666666666,5.940416666666668
14430,exalt,5.825,5.071470588235295,5.756764705882352
14431,brio,6.473333333333334,5.273333333333333,5.8566666666666665
14432,living,5.681041666666666,3.884166666666667,5.714791666666666
14433,spiritedness,6.473333333333334,5.273333333333333,5.8566666666666665
14434,liveliness,6.354285714285715,4.482142857142857,5.865714285714285
14435,aliveness,6.52,4.7283333333333335,5.831666666666666
14436,vivification,6.473333333333334,5.273333333333333,5.8566666666666665
14437,invigoration,6.473333333333334,5.273333333333333,5.8566666666666665
14438,animus,3.4,5.83,5.04
14439,bobbysocks,4.75,3.57,5.08
14440,anklets,4.75,3.57,5.08
14441,bobbysock,4.75,3.57,5.08
14442,annexe,5.33,3.991428571428571,5.591428571428571
14443,decimate,4.14625,4.9975000000000005,4.8875
14444,disintegration,3.1212500000000003,4.50375,3.655
14445,obliteration,2.58,5.52,3.2
14446,harbinger,5.308333333333333,3.8800000000000003,5.3133333333333335
14447,annunciate,5.308333333333333,3.8800000000000003,5.3133333333333335
14448,foretell,5.434666666666667,4.254888888888888,5.358444444444443
14449,denote,5.465454545454546,3.880909090909091,5.72090909090909
14450,promulgation,5.7299999999999995,4.28,5.413333333333334
14451,annunciation,5.69,3.856666666666666,6.07
14452,nettle,3.9761403508771918,4.752982456140348,4.625789473684211
14453,chafe,4.19078431372549,4.557450980392156,4.75872549019608
14454,rile,3.9761403508771918,4.752982456140348,4.625789473684211
14455,nark,3.9761403508771918,4.752982456140348,4.625789473684211
14456,vexation,3.955357142857143,4.685714285714285,4.572142857142857
14457,aggravator,3.154,5.124,3.754
14458,botheration,3.193809523809524,4.884761904761906,4.09
14459,infliction,3.184444444444445,4.808333333333333,4.046666666666666
14460,nettled,3.5262500000000006,4.61,4.455
14461,miffed,3.5262500000000006,4.61,4.455
14462,stung,3.5262500000000006,4.61,4.455
14463,pestered,3.52625,4.609999999999999,4.455
14464,riled,3.5262500000000006,4.61,4.455
14465,roiled,3.517272727272727,4.848181818181818,4.442727272727273
14466,harried,3.52625,4.609999999999999,4.455
14467,steamed,3.5262500000000006,4.61,4.455
14468,harassed,3.52625,4.609999999999999,4.455
14469,pissed,4.4192857142857145,4.61357142857143,4.973571428571428
14470,irritated,3.5262500000000006,4.61,4.455
14471,vexed,3.52625,4.609999999999999,4.455
14472,plaguy,3.379166666666667,4.6658333333333335,4.140833333333334
14473,teasing,4.238928571428572,4.616071428571429,4.621785714285714
14474,pestering,3.379166666666667,4.6658333333333335,4.140833333333334
14475,galling,3.379166666666667,4.6658333333333335,4.140833333333334
14476,vexatious,3.379166666666667,4.6658333333333335,4.140833333333334
14477,plaguey,3.379166666666667,4.6658333333333335,4.140833333333334
14478,nettlesome,3.7513043478260863,4.7269565217391305,4.493478260869565
14479,pestiferous,3.448095238095238,4.456190476190476,4.309523809523809
14480,vexing,3.497857142857143,4.702857142857142,4.187142857142857
14481,bothersome,3.379166666666667,4.6658333333333335,4.140833333333334
14482,quash,4.4993181818181816,3.971590909090909,4.965681818181817
14483,countermand,4.695263157894736,4.092894736842105,5.244736842105264
14484,overturn,4.479019607843137,4.350588235294118,5.076274509803922
14485,nullify,4.218000000000001,3.9995000000000003,4.867
14486,invalidate,4.371818181818181,3.9990909090909104,4.9386363636363635
14487,repeal,4.6787179487179476,4.094102564102563,5.216666666666668
14488,invalidation,4.05,4.14,4.15
14489,revocation,4.05,4.14,4.15
14490,abrogation,4.05,4.14,4.15
14491,inunct,3.7000000000000006,4.19,4.776666666666666
14492,anoint,3.7000000000000006,4.19,4.776666666666666
14493,embrocate,3.7000000000000006,4.19,4.776666666666666
14494,anele,3.7000000000000006,4.19,4.776666666666666
14495,anomalousness,4.84,4.25,4.26
14496,namelessness,4.81,3.29,5.88
14497,anorectic,2.71,4.24,3.43
14498,emmet,3.9,3.27,5.3
14499,pismire,3.9,3.27,5.3
14500,antipathetical,3.5900000000000007,4.023999999999999,4.1530000000000005
14501,antipathetic,3.5900000000000007,4.023999999999999,4.1530000000000005
14502,antagonise,3.5700000000000003,4.3549999999999995,4.368333333333333
14503,formicary,4.32,4.63,4.76
14504,flack,4.628157894736843,4.966578947368421,4.807368421052631
14505,Antichrist,,,
14506,previse,6.0112499999999995,4.0375,5.67625
14507,prognosticate,5.454102564102564,4.312564102564102,5.365384615384615
14508,forestall,4.7776000000000005,4.420800000000001,5.0464
14509,foreknow,6.0112499999999995,4.0375,5.67625
14510,forebode,5.512121212121213,4.395454545454544,5.335151515151515
14511,prevision,5.8180000000000005,4.668,5.524
14512,antic,5.8586206896551705,4.885172413793105,5.311379310344828
14513,counterpoison,6.55,3.24,6.08
14514,antiquate,4.675,4.529999999999999,4.775
14515,outmoded,4.6,4.395,4.895
14516,passe,4.6,4.395,4.895
14517,gaffer,5.157857142857142,3.826428571428571,5.369285714285715
14518,passee,4.6,4.395,4.895
14519,demode,4.6,4.395,4.895
14520,oldtimer,5.634,4.13,5.497999999999999
14521,asocial,3.21,5.32,5.33
14522,fretful,3.3633333333333333,4.79,3.8433333333333333
14523,fidgety,3.4450000000000003,5.065,3.425
14524,incus,5.05,4.4,5.38
14525,anxiousness,2.38,4.78,3.39
14526,unquiet,3.385882352941176,4.808235294117647,4.0323529411764705
14527,dying,3.13875,5.03625,3.875
14528,aortal,4.25,3.5,4.58
14529,Apache,5.2,3.7,4.95
14530,spiritlessness,3.516666666666667,3.823333333333333,4.93
14531,numbness,3.516666666666667,3.823333333333333,4.93
14532,aper,4.27,4.4350000000000005,5.025
14533,anthropoid,4.27,4.4350000000000005,5.025
14534,imitator,4.25,4.273333333333333,4.636666666666667
14535,caricature,4.4399999999999995,4.435714285714286,4.871428571428572
14536,emulator,4.27,4.4350000000000005,5.025
14537,acme,5.613103448275863,4.168275862068965,5.716896551724139
14538,vertex,5.710555555555556,4.0616666666666665,5.703333333333334
14539,aphrodisiacal,6.925,6.38,5.52
14540,Revelation,4.63,4.013333333333334,4.173333333333333
14541,Apocalypse,4.63,4.013333333333334,4.173333333333333
14542,excusatory,6.65,4.0,5.0
14543,rationalise,5.007446808510638,4.13936170212766,5.255957446808511
14544,apologise,5.260625,3.990625,5.3793750000000005
14545,apologia,5.38,3.8049999999999997,4.91
14546,Apostle,5.5,4.38,4.71
14547,scandalise,3.652647058823529,4.951764705882353,4.459117647058823
14548,dismayed,3.4566666666666666,5.315,4.9
14549,scandalize,3.652647058823529,4.951764705882353,4.459117647058823
14550,shocked,3.4566666666666666,5.315,4.9
14551,aghast,3.4566666666666666,5.315,4.9
14552,dismaying,3.345,5.413333333333334,4.973333333333334
14553,garb,5.591481481481481,3.731111111111111,5.717037037037037
14554,enclothe,5.591481481481481,3.731111111111111,5.717037037037037
14555,raiment,5.597666666666667,3.722333333333333,5.716666666666666
14556,habilitate,5.591481481481481,3.731111111111111,5.717037037037037
14557,tog,5.591481481481481,3.731111111111111,5.717037037037037
14558,seeming,5.2316666666666665,3.6200000000000006,5.821666666666668
14559,ostensible,5.2316666666666665,3.6200000000000006,5.821666666666668
14560,phantasm,4.95888888888889,3.7522222222222226,4.8933333333333335
14561,phantasma,4.95888888888889,3.7522222222222226,4.8933333333333335
14562,fantasm,4.95888888888889,3.7522222222222226,4.8933333333333335
14563,specter,4.815294117647059,4.333529411764706,4.965294117647058
14564,spectre,4.815294117647059,4.333529411764706,4.965294117647058
14565,appealingness,5.768666666666666,4.544,5.536666666666666
14566,entreaty,5.705,4.28625,5.9125
14567,ingathering,5.8342857142857145,4.4557142857142855,5.965714285714285
14568,appearing,6.025,4.335,5.865
14569,placate,6.274,3.261,5.852
14570,lenify,6.274,3.261,5.852
14571,gruntle,6.274,3.261,5.852
14572,propitiate,6.295,3.1025,5.8925
14573,mollify,6.02,3.7328571428571435,5.825238095238095
14574,quell,5.2299999999999995,3.757499999999999,5.3660000000000005
14575,outgrowth,5.116896551724137,4.288275862068965,5.646206896551725
14576,appendicectomy,2.95,6.14,3.59
14577,appetency,6.23,5.37,5.57
14578,appetence,6.23,5.37,5.57
14579,appetiser,5.381666666666667,4.32,5.07
14580,appetising,7.0,4.82,6.18
14581,clapping,7.12,5.38,6.56
14582,folderol,4.2784615384615385,3.693076923076923,4.9969230769230775
14583,codswallop,4.2784615384615385,3.693076923076923,4.9969230769230775
14584,trumpery,4.336666666666668,3.7373333333333334,4.992666666666667
14585,gismo,5.38,3.911,5.324
14586,widget,5.38,3.911,5.324
14587,contrivance,5.394285714285714,3.917142857142857,5.1242857142857146
14588,applier,4.91,3.96,5.08
14589,covering,5.524761904761906,3.8595238095238087,5.536428571428571
14590,utilise,5.755238095238096,4.414285714285714,6.005238095238096
14591,appointee,5.9125,4.692500000000001,6.02
14592,naming,5.9125,4.692500000000001,6.02
14593,designation,6.015,4.611666666666667,6.169999999999999
14594,revalue,7.539999999999999,5.1725,6.359999999999999
14595,perceptiveness,6.047333333333333,4.520666666666667,6.064000000000001
14596,discernment,5.732727272727272,4.076818181818182,5.796818181818184
14597,grok,4.891538461538461,4.37,5.203076923076924
14598,apprehensiveness,3.4457894736842114,4.847894736842105,4.166842105263157
14599,misgiving,4.255714285714286,4.562857142857142,4.860714285714286
14600,prentice,6.226666666666667,4.023333333333333,6.076666666666667
14601,coming,5.961818181818182,5.226363636363636,5.668181818181818
14602,near,5.791063829787233,4.150638297872341,5.920851063829786
14603,approaching,5.52375,5.005,5.6375
14604,okay,5.319999999999999,4.2988888888888885,5.444444444444445
14605,approximative,4.415384615384616,4.538461538461538,4.680769230769231
14606,forestage,5.8,2.9,5.28
14607,proscenium,5.8,2.9,5.28
14608,minded,5.5600000000000005,4.612500000000001,5.91
14609,apposite,5.5600000000000005,4.612500000000001,5.91
14610,given,5.160000000000001,4.515000000000001,5.726666666666667
14611,disposed,5.426363636363637,4.2327272727272724,5.617272727272726
14612,arbitrement,4.09,4.41,4.19
14613,arbitrament,4.09,4.41,4.19
14614,colonnade,6.45,6.1,6.81
14615,arc,5.091481481481485,4.318518518518519,5.1553703703703695
14616,implike,3.5458823529411765,4.984117647058823,4.342941176470587
14617,impish,3.5458823529411765,4.984117647058823,4.342941176470587
14618,prankish,3.5458823529411765,4.984117647058823,4.342941176470587
14619,archway,4.2716666666666665,4.891666666666667,4.6866666666666665
14620,patronising,4.776923076923077,4.211538461538462,5.2299999999999995
14621,puckish,3.5458823529411765,4.984117647058823,4.342941176470587
14622,pixilated,4.2110810810810815,4.784594594594596,4.795945945945945
14623,archaeologic,6.05,4.52,5.18
14624,archeological,6.05,4.52,5.18
14625,archeologic,6.05,4.52,5.18
14626,archeologist,5.42,4.14,5.17
14627,archeology,6.1,3.86,5.26
14628,Arctic,4.702,4.262,5.084
14629,gelid,4.882222222222222,4.0344444444444445,5.117777777777778
14630,gumshoe,4.960714285714286,4.449285714285714,5.357142857142857
14631,galosh,5.47375,4.20375,5.669999999999999
14632,golosh,5.47375,4.20375,5.669999999999999
14633,glacial,4.959166666666666,4.2299999999999995,5.251666666666666
14634,fervid,5.287999999999999,4.602,5.2219999999999995
14635,fervent,5.287999999999999,4.602,5.2219999999999995
14636,impassioned,5.287999999999999,4.602,5.2219999999999995
14637,perfervid,5.287999999999999,4.602,5.2219999999999995
14638,expanse,5.497894736842106,3.72421052631579,5.566842105263158
14639,disputation,4.958148148148148,4.107407407407407,5.411481481481482
14640,parameter,4.2700000000000005,4.569999999999999,5.255714285714286
14641,disceptation,4.967619047619047,4.157142857142856,5.388571428571429
14642,contestation,4.967619047619047,4.157142857142856,5.388571428571429
14643,arguing,4.967619047619047,4.157142857142856,5.388571428571429
14644,argumentation,5.157692307692309,3.9966666666666653,5.248205128205129
14645,uprise,5.437413793103447,4.167068965517241,5.6484482758620675
14646,originate,5.659661016949154,4.124406779661017,5.680508474576272
14647,patrician,4.809230769230769,3.947307692307693,5.048846153846155
14648,aristocratical,4.8304,3.9612,5.0532
14649,arithmetical,4.95,4.0,5.54
14650,Ark,6.15,3.52,5.88
14651,fortify,5.245333333333333,3.9699999999999998,5.679999999999999
14652,gird,4.899,4.199,5.3759999999999994
14653,equipping,5.05,4.65,5.37
14654,arming,5.05,4.65,5.37
14655,armour,5.885,3.4050000000000002,6.0
14656,panoplied,5.885,3.4050000000000002,6.0
14657,armoured,5.885,3.4050000000000002,6.0
14658,armoury,5.0375,4.26,5.272500000000001
14659,axilla,4.1,3.57,5.24
14660,Army,4.65,4.49,4.65
14661,USA,4.65,4.49,4.65
14662,odour,5.762352941176471,4.365882352941176,5.5858823529411765
14663,kindle,5.361044776119402,4.901194029850746,5.3561194029850725
14664,energise,5.741764705882353,5.011176470588236,5.569411764705883
14665,enkindle,5.361044776119402,4.901194029850746,5.3561194029850725
14666,waken,5.71121212121212,5.458484848484848,5.6512121212121205
14667,evoke,5.338586956521739,4.7565217391304335,5.373586956521738
14668,stimulated,5.976086956521739,5.569565217391304,5.635652173913043
14669,ruttish,5.886,5.4563999999999995,5.642400000000001
14670,randy,5.886,5.4563999999999995,5.642400000000001
14671,stirred,5.976086956521739,5.569565217391304,5.635652173913043
14672,coiffe,5.51983870967742,3.8508064516129017,5.765161290322579
14673,coif,5.5275,3.850937499999999,5.771562499999999
14674,coiffure,5.5275,3.850937499999999,5.771562499999999
14675,arranging,5.571428571428571,3.5228571428571422,5.775714285714286
14676,regalia,5.653333333333333,3.643333333333333,5.713333333333334
14677,stoppage,4.842264150943395,3.978584905660378,5.219811320754717
14678,comer,6.67,3.6,6.53
14679,arriver,6.67,3.6,6.53
14680,reaching,5.726400000000001,4.104,5.9244
14681,hauteur,2.55,4.65,5.0
14682,haughtiness,2.55,4.65,5.0
14683,lordliness,4.875,4.18,5.925
14684,chesty,2.52,5.15,4.64
14685,As,5.004444444444444,4.508888888888889,5.115555555555555
14686,ratsbane,3.0,4.7,3.46
14687,incendiarism,2.26,5.41,3.78
14688,firebug,2.5,6.95,3.42
14689,incendiary,2.75,5.8100000000000005,3.795
14690,arteria,4.29,4.09,4.78
14691,vocalize,5.987391304347827,3.8743478260869573,5.7534782608695645
14692,enunciate,5.527142857142857,3.6314285714285717,5.728571428571429
14693,enounce,5.527142857142857,3.6314285714285717,5.728571428571429
14694,vocalise,5.987391304347827,3.8743478260869573,5.7534782608695645
14695,articulated,5.697142857142857,3.6557142857142857,6.081428571428572
14696,artefact,6.2,4.95,5.73
14697,contrived,4.96,4.01,5.21
14698,stilted,4.96,4.01,5.21
14699,dominating,4.648000000000001,4.513,5.412
14700,ascensive,5.663333333333334,3.526666666666667,5.546666666666667
14701,ascent,5.729749999999999,4.45425,5.7415
14702,rising,5.526785714285714,4.423214285714287,5.625357142857143
14703,Ascension,5.546666666666667,4.796666666666667,6.053333333333334
14704,fatuous,3.8560000000000003,3.8880000000000003,4.296
14705,vacuous,4.4425,3.8184999999999993,4.424999999999999
14706,enquire,5.734285714285714,4.455,5.557857142857143
14707,postulate,5.367307692307693,4.142948717948717,5.631538461538462
14708,necessitate,5.479117647058824,4.0672058823529404,5.695
14709,benumbed,3.848333333333333,3.258333333333333,4.001666666666667
14710,departed,4.213888888888889,4.1594444444444445,4.4094444444444445
14711,gone,4.2,4.174736842105264,4.415263157894737
14712,panorama,5.760000000000001,3.955000000000001,5.630625
14713,facet,5.9628571428571435,3.5714285714285707,5.8757142857142854
14714,vista,5.760000000000001,3.955000000000001,5.630625
14715,Empirin,5.3,3.35,5.12
14716,Bayer,5.3,3.35,5.12
14717,aspirant,6.32375,4.510000000000001,6.172499999999999
14718,buns,4.718958333333333,4.348333333333334,5.041250000000001
14719,nates,4.718958333333333,4.348333333333334,5.041250000000001
14720,nooky,5.136111111111111,4.6127777777777785,5.117222222222223
14721,derriere,4.718958333333333,4.348333333333334,5.041250000000001
14722,arse,4.578653846153847,4.443461538461538,4.94721153846154
14723,keister,4.718958333333333,4.348333333333334,5.041250000000001
14724,behind,4.627314814814816,4.243055555555555,5.02527777777778
14725,nookie,5.136111111111111,4.6127777777777785,5.117222222222223
14726,shtup,5.136111111111111,4.6127777777777785,5.117222222222223
14727,screwing,5.136111111111111,4.6127777777777785,5.117222222222223
14728,fundament,4.8501550387596915,4.177751937984497,5.16906976744186
14729,hindquarters,4.718958333333333,4.348333333333334,5.041250000000001
14730,prat,4.718958333333333,4.348333333333334,5.041250000000001
14731,tooshie,4.718958333333333,4.348333333333334,5.041250000000001
14732,fanny,4.718958333333333,4.348333333333334,5.041250000000001
14733,tush,4.718958333333333,4.348333333333334,5.041250000000001
14734,AS,5.004444444444443,4.50888888888889,5.115555555555556
14735,bravo,2.11,5.82,3.36
14736,assassinator,2.11,5.82,3.36
14737,blackwash,1.83,6.2,4.0
14738,dishonour,3.7219444444444445,4.781944444444445,4.555555555555556
14739,ravish,4.870943396226415,4.82,5.01754716981132
14740,snipe,4.274347826086958,4.829130434782608,4.7873913043478264
14741,assail,4.274347826086958,4.829130434782608,4.7873913043478264
14742,ravishment,2.986428571428571,5.309285714285713,3.801428571428571
14743,Assault,2.715,5.65125,3.6062499999999997
14744,foregather,5.6852,3.9067999999999996,5.782800000000001
14745,forgather,5.6852,3.9067999999999996,5.782800000000001
14746,assemblage,5.242857142857143,4.2542857142857144,5.527142857142858
14747,gathering,5.422499999999999,3.8725,5.69
14748,affirm,5.393617021276597,3.8985106382978723,5.657021276595745
14749,swan,4.993490566037739,4.049245283018868,5.33764150943396
14750,avow,4.982500000000001,4.5,5.55
14751,asseverate,5.416666666666667,4.121999999999999,5.952666666666667
14752,appraise,5.423913043478262,4.2117391304347835,5.466086956521738
14753,valuate,5.3521052631578945,4.354736842105264,5.376578947368421
14754,judgement,5.871739130434783,4.202608695652174,5.903478260869565
14755,plus,6.121666666666666,4.2250000000000005,5.805
14756,arsehole,2.895,5.584999999999999,3.8187500000000005
14757,SOB,3.73531914893617,4.74595744680851,4.511276595744682
14758,whoreson,3.7014000000000005,4.7658,4.49
14759,impute,5.356666666666667,4.004444444444444,5.728888888888888
14760,depute,5.193076923076922,4.123076923076923,5.527692307692306
14761,arrogate,5.031875000000001,4.106562500000001,5.179062499999999
14762,ascribe,5.356666666666667,4.004444444444444,5.728888888888888
14763,assigning,4.91,4.625,6.34
14764,affiliate,5.943999999999999,3.6674999999999995,5.5825
14765,assort,5.588333333333332,3.7922222222222217,5.529166666666667
14766,consociate,6.208888888888889,3.4966666666666666,5.924444444444443
14767,colligate,5.9245,3.6919999999999993,5.8035
14768,connexion,5.737142857142857,3.544285714285714,5.683571428571429
14769,sort,5.265303030303031,3.873333333333333,5.465151515151514
14770,sundry,5.3671428571428565,3.8085714285714287,5.347142857142857
14771,mixed,5.3671428571428565,3.8085714285714287,5.347142857142857
14772,compartmentalisation,5.5183333333333335,3.65,5.544999999999999
14773,miscellanea,5.7056249999999995,3.675625,5.7056249999999995
14774,categorization,5.5183333333333335,3.65,5.544999999999999
14775,salmagundi,5.7056249999999995,3.675625,5.7056249999999995
14776,categorisation,5.5183333333333335,3.65,5.544999999999999
14777,miscellany,5.7056249999999995,3.675625,5.7056249999999995
14778,smorgasbord,5.7056249999999995,3.675625,5.7056249999999995
14779,compartmentalization,5.5183333333333335,3.65,5.544999999999999
14780,don,5.0955172413793095,4.047931034482759,5.215172413793104
14781,usurp,4.830000000000001,4.312380952380953,4.9157142857142855
14782,Assumption,4.716666666666666,4.296666666666667,5.193333333333334
14783,effrontery,4.716666666666666,4.296666666666667,5.193333333333334
14784,presumptuousness,4.716666666666666,4.296666666666667,5.193333333333334
14785,supposition,5.158,4.1739999999999995,5.282
14786,supposal,4.716666666666666,4.296666666666667,5.193333333333334
14787,premiss,5.1049999999999995,4.0566666666666675,5.47
14788,sureness,5.454166666666667,4.09,5.5683333333333325
14789,wheezy,3.33,3.38,3.84
14790,wheezing,3.33,3.38,3.84
14791,astounding,6.667999999999999,5.45,5.89
14792,stupefying,6.667999999999999,5.45,5.89
14793,staggering,6.667999999999999,5.45,5.89
14794,cosmonaut,6.4350000000000005,4.050000000000001,5.085
14795,stargazer,5.59,5.42,5.33
14796,uranologist,5.59,5.42,5.33
14797,astronomic,6.6850000000000005,5.4,4.955
14798,uranology,6.0,4.33,5.21
14799,atheistic,4.64,4.76,5.41
14800,atheistical,4.64,4.76,5.41
14801,jock,5.96076923076923,4.271538461538461,6.001538461538463
14802,gymnastic,6.76,5.0,6.11
14803,acrobatic,6.76,5.0,6.11
14804,Atlas,5.95,2.5,5.7
14805,telamon,5.95,2.5,5.7
14806,atm,6.39,3.95,5.449999999999999
14807,atmospherical,5.72,4.09,5.11
14808,corpuscle,5.082999999999999,4.361,5.364
14809,mote,5.082999999999999,4.361,5.364
14810,flagitious,3.1099999999999994,4.957142857142857,3.9738095238095235
14811,barbarousness,2.95,5.0,2.96
14812,inhumanity,2.95,5.0,2.96
14813,heinousness,2.95,5.0,2.96
14814,barbarity,2.6900000000000004,4.98,3.425
14815,atrociousness,2.95,5.0,2.96
14816,wasting,3.43,4.12,4.015000000000001
14817,sequester,4.7749999999999995,4.101785714285714,5.011785714285714
14818,fastening,6.0,2.96,6.32
14819,affixation,6.0,2.96,6.32
14820,adhesion,6.0,2.96,6.32
14821,adherence,6.0,2.96,6.32
14822,onslaught,4.105714285714286,4.993571428571428,4.432142857142857
14823,aggress,4.34,5.038888888888889,4.69888888888889
14824,onrush,4.374,4.941000000000001,4.664000000000001
14825,assay,5.137049180327869,4.089180327868853,5.4404918032786895
14826,endeavour,5.236,4.296666666666667,5.429666666666665
14827,attending,6.64,3.8775,6.142499999999999
14828,concomitant,5.3725000000000005,3.8200000000000003,5.3725
14829,consequent,5.3725000000000005,3.8200000000000003,5.3725
14830,accompaniment,5.579736842105265,3.8771052631578953,5.671315789473684
14831,attender,5.247058823529412,3.8882352941176475,5.522352941176472
14832,attendee,5.763333333333333,3.2100000000000004,5.4799999999999995
14833,meeter,5.763333333333333,3.2100000000000004,5.4799999999999995
14834,sequent,4.9885714285714275,3.7628571428571433,5.527142857142857
14835,resultant,5.08,4.133,5.3895
14836,ensuant,5.3725000000000005,3.8200000000000003,5.3725
14837,accompanying,5.3725000000000005,3.8200000000000003,5.3725
14838,heedful,6.202500000000001,3.3375000000000004,6.2975
14839,Ionic,5.828333333333333,3.603333333333333,5.468333333333334
14840,bonce,5.828333333333333,3.603333333333333,5.468333333333334
14841,Attic,5.828333333333333,3.603333333333333,5.468333333333334
14842,garret,5.828333333333333,3.603333333333333,5.468333333333334
14843,prink,6.29,4.34,6.21
14844,overdress,6.29,4.34,6.21
14845,attractiveness,6.276666666666666,4.126666666666667,5.293333333333333
14846,attractor,5.236896551724138,4.03103448275862,5.485172413793104
14847,attracter,5.236896551724138,4.03103448275862,5.485172413793104
14848,vendue,5.26,4.25,5.35
14849,dauntless,5.749999999999999,4.615,5.776666666666667
14850,venturous,5.0920000000000005,4.890000000000001,5.568
14851,hardy,5.555,4.463125,5.73
14852,unfearing,5.749999999999999,4.615,5.776666666666667
14853,venturesome,5.0920000000000005,4.890000000000001,5.568
14854,bodacious,5.2877777777777775,4.765555555555555,5.572222222222222
14855,brassy,5.063250000000001,4.5920000000000005,5.258249999999999
14856,barefaced,5.044,4.660000000000001,5.465
14857,audaciousness,5.2,4.1,5.33
14858,temerity,5.2,4.1,5.33
14859,hearable,6.05,4.45,6.26
14860,hearing,5.318,4.906000000000001,5.76
14861,scrutinize,4.88,4.576666666666667,4.506666666666667
14862,scrutinise,4.88,4.576666666666667,4.506666666666667
14863,hearer,4.68,3.765,5.4350000000000005
14864,audile,5.05,4.5,6.11
14865,auditive,5.05,4.5,6.11
14866,aunty,6.4,3.145,5.035
14867,gloriole,6.6971428571428575,4.351428571428571,5.664285714285714
14868,nimbus,6.6971428571428575,4.351428571428571,5.664285714285714
14869,aureole,6.6971428571428575,4.351428571428571,5.664285714285714
14870,unquestionable,6.3625,3.9324999999999997,6.2875
14871,genuineness,6.18,4.255,6.300000000000001
14872,authorisation,5.3375,4.2475000000000005,5.504
14873,empowerment,4.973333333333334,4.723333333333334,5.010000000000001
14874,empower,6.212941176470588,4.094705882352941,6.129411764705883
14875,authorise,5.39065573770492,4.159672131147541,5.523606557377049
14876,autobiographic,4.82,3.74,5.89
14877,inscribe,4.820434782608695,4.2208695652173915,5.111159420289853
14878,automatize,4.74,4.05,4.5
14879,automate,4.74,4.05,4.5
14880,automatise,4.74,4.05,4.5
14881,automatonlike,5.446666666666666,4.333333333333333,4.55
14882,reflexive,5.446666666666666,4.333333333333333,4.55
14883,machinelike,5.446666666666666,4.333333333333333,4.55
14884,robotlike,5.446666666666666,4.333333333333333,4.55
14885,PM,4.76,4.5616666666666665,4.806666666666666
14886,necropsy,2.9050000000000002,4.535,3.27
14887,supplementary,5.173333333333333,3.6566666666666667,5.656666666666666
14888,handiness,5.68,4.38,5.5
14889,accessibility,5.68,4.38,5.5
14890,availableness,5.68,4.38,5.5
14891,uncommitted,5.743333333333333,3.776666666666667,5.913333333333334
14892,useable,6.008333333333333,4.253333333333333,5.951666666666667
14893,boulevard,5.74,3.3,5.18
14894,modal,4.877777777777777,3.313333333333333,5.233333333333333
14895,middling,5.960952380952382,3.9528571428571433,5.623333333333333
14896,averting,4.0,5.14,4.81
14897,antipathy,4.0,5.14,4.81
14898,distaste,4.0,5.14,4.81
14899,forfend,4.59375,3.9500000000000006,5.13125
14900,forefend,4.59375,3.9500000000000006,5.13125
