V,A,D
5.0,5.52,5.15
5.0,5.52,5.15
5.0,5.52,5.15
5.0,5.52,5.15
5.210000000000001,4.544999999999999,5.355625000000001
5.0,5.52,5.15
5.805,4.7250000000000005,5.336666666666666
4.25,5.95,4.54
5.303333333333334,3.2533333333333334,5.3933333333333335
5.303333333333334,3.2533333333333334,5.3933333333333335
5.303333333333334,3.2533333333333334,5.3933333333333335
4.7633333333333345,4.493333333333334,4.845333333333333
4.7633333333333345,4.493333333333334,4.845333333333333
4.709444444444445,4.482222222222223,4.86388888888889
5.196666666666666,4.448333333333333,4.9383333333333335
4.709444444444445,4.482222222222223,4.86388888888889
5.16063829787234,4.118085106382979,5.273191489361703
4.709444444444445,4.482222222222223,4.86388888888889
5.405,5.458333333333333,4.971666666666667
5.405,5.458333333333333,4.971666666666667
5.405,5.458333333333333,4.971666666666667
5.405,5.458333333333333,4.971666666666667
5.405,5.458333333333333,4.971666666666667
5.0875862068965505,4.473448275862069,5.312068965517242
5.001818181818182,4.52,5.303181818181818
5.0875862068965505,4.473448275862069,5.312068965517242
5.0875862068965505,4.473448275862069,5.312068965517242
5.0875862068965505,4.473448275862069,5.312068965517242
5.0875862068965505,4.473448275862069,5.312068965517242
5.065652173913043,4.545217391304347,5.335217391304348
5.001818181818182,4.52,5.303181818181818
5.001818181818182,4.52,5.303181818181818
5.065652173913043,4.545217391304347,5.335217391304348
5.001818181818182,4.52,5.303181818181818
5.001818181818182,4.52,5.303181818181818
5.001818181818182,4.52,5.303181818181818
5.001818181818182,4.52,5.303181818181818
5.001818181818182,4.52,5.303181818181818
5.5,4.24,5.17
4.617333333333334,3.693333333333333,5.014666666666666
4.835384615384616,3.463846153846154,5.093846153846154
5.127916666666667,4.012916666666667,5.291666666666666
4.835384615384616,3.463846153846154,5.093846153846154
4.617333333333334,3.693333333333333,5.014666666666666
4.835384615384616,3.463846153846154,5.093846153846154
4.792857142857143,3.405,5.002142857142856
4.7299999999999995,3.3683333333333336,5.0183333333333335
4.7299999999999995,3.3683333333333336,5.0183333333333335
4.835384615384616,3.463846153846154,5.093846153846154
4.48,3.835,4.18
4.48,3.835,4.18
4.735,4.095,5.175000000000001
5.056923076923078,3.6853846153846153,5.2130769230769225
3.925,5.175000000000001,4.26
4.689090909090909,4.907272727272727,5.097272727272728
3.925,5.175000000000001,4.26
5.345000000000001,4.55875,5.523437500000001
3.6466666666666665,4.276666666666666,4.8133333333333335
7.05,4.05,6.55
5.182,4.964,5.454
4.703684210526316,4.220526315789473,5.250263157894737
4.703684210526316,4.220526315789473,5.250263157894737
4.781944444444445,4.2275,5.309444444444444
4.2700000000000005,4.286666666666666,3.7100000000000004
6.9,4.5,6.73
6.9,4.5,6.73
6.9,4.5,6.73
6.225,4.4,5.865
6.225,4.4,5.865
6.225,4.4,5.865
6.225,4.4,5.865
5.275581395348838,4.218837209302326,5.335348837209302
4.879615384615384,4.676923076923076,4.913461538461539
5.684102564102563,4.399230769230771,5.55846153846154
6.090909090909091,4.234545454545455,5.76
5.5,4.026666666666666,5.123333333333333
5.5,4.026666666666666,5.123333333333333
4.282500000000001,5.335,4.2575
4.282500000000001,5.335,4.2575
4.282500000000001,5.335,4.2575
4.685,3.775,4.7875
5.371999999999999,4.224,5.453
5.2175,3.794166666666666,4.7924999999999995
5.255882352941177,4.11235294117647,5.368823529411763
5.260000000000001,4.103333333333333,5.348333333333333
5.255882352941177,4.11235294117647,5.368823529411763
5.255882352941177,4.11235294117647,5.368823529411763
5.255882352941177,4.11235294117647,5.368823529411763
5.472799999999999,4.2056,5.5788
5.260000000000001,4.103333333333333,5.348333333333333
6.247,4.789,5.293
5.31695652173913,4.49608695652174,5.0947826086956525
5.31695652173913,4.49608695652174,5.0947826086956525
6.247,4.789,5.293
6.247,4.789,5.293
5.722142857142858,4.449285714285714,5.020714285714285
6.08,4.237500000000001,5.4875
6.08,4.237500000000001,5.4875
6.08,4.237500000000001,5.4875
6.08,4.237500000000001,5.4875
6.08,4.237500000000001,5.4875
3.7749999999999995,3.9375,4.390000000000001
3.7749999999999995,3.9375,4.390000000000001
3.7749999999999995,3.9375,4.390000000000001
3.7749999999999995,3.9375,4.390000000000001
4.18,4.517999999999999,4.064000000000001
4.18,4.517999999999999,4.064000000000001
4.18,4.517999999999999,4.064000000000001
4.18,4.517999999999999,4.064000000000001
4.18,4.517999999999999,4.064000000000001
4.18,4.517999999999999,4.064000000000001
4.702,4.3165,5.070500000000001
4.702,4.3165,5.070500000000001
5.244999999999999,3.784230769230769,5.419230769230769
4.702,4.3165,5.070500000000001
5.305,3.49625,5.67125
4.119999999999999,4.529999999999999,4.5975
4.24,4.7942857142857145,4.5614285714285705
4.119999999999999,4.529999999999999,4.5975
4.119999999999999,4.529999999999999,4.5975
4.614285714285714,4.45,5.180000000000001
5.196363636363637,4.328181818181819,5.132727272727274
5.196363636363637,4.328181818181819,5.132727272727274
4.61,4.45,4.65
4.61,4.45,4.65
7.42,2.73,5.15
6.55,3.19,5.82
6.55,3.19,5.82
5.0,3.48,5.69
5.6,3.61,4.71
6.271111111111112,5.117777777777778,6.062222222222222
6.056,4.523999999999999,5.547
5.1066666666666665,4.286666666666666,5.316666666666666
5.103636363636363,4.234545454545454,5.379999999999999
5.103636363636363,4.234545454545454,5.379999999999999
5.1066666666666665,4.286666666666666,5.316666666666666
5.103636363636363,4.234545454545454,5.379999999999999
5.1066666666666665,4.286666666666666,5.316666666666666
5.103636363636363,4.234545454545454,5.379999999999999
7.47,3.81,5.57
2.7199999999999998,4.455,2.78
4.375,3.9000000000000004,3.95
4.375,3.9000000000000004,3.95
4.81,4.24125,4.95375
5.078333333333333,4.5408333333333335,4.88
4.81,4.24125,4.95375
4.375,3.9000000000000004,3.95
4.375,3.9000000000000004,3.95
4.375,3.9000000000000004,3.95
2.4975,4.84,3.9800000000000004
4.156666666666667,4.033333333333333,4.5
4.156666666666667,4.033333333333333,4.5
5.16,3.85,5.15
4.782857142857142,4.182857142857143,4.842857142857143
5.6031578947368414,4.800000000000001,5.633157894736843
5.6031578947368414,4.8,5.633157894736843
5.6031578947368414,4.8,5.633157894736843
6.29,3.72,5.84
6.29,3.72,5.84
6.29,3.72,5.84
6.29,3.72,5.84
4.676818181818183,4.898636363636364,4.580454545454545
5.147142857142858,3.5914285714285716,5.427142857142857
5.147142857142858,3.5914285714285716,5.427142857142857
5.147142857142858,3.5914285714285716,5.427142857142857
5.147142857142858,3.5914285714285716,5.427142857142857
5.147142857142858,3.5914285714285716,5.427142857142857
5.147142857142858,3.5914285714285716,5.427142857142857
5.147142857142858,3.5914285714285716,5.427142857142857
5.1819999999999995,4.964,5.454
5.1819999999999995,4.964,5.454
5.1819999999999995,4.964,5.454
5.4433333333333325,4.522222222222222,5.6255555555555565
5.1819999999999995,4.964,5.454
5.1819999999999995,4.964,5.454
5.1819999999999995,4.964,5.454
5.159999999999999,4.0128571428571425,5.688571428571429
5.246363636363636,3.7245454545454546,5.844545454545454
5.246363636363636,3.7245454545454546,5.844545454545454
5.159999999999999,4.0128571428571425,5.688571428571429
5.159999999999999,4.0128571428571425,5.688571428571429
5.615714285714285,3.7285714285714286,4.698571428571428
5.426666666666667,3.5066666666666664,4.495
5.426666666666667,3.5066666666666664,4.495
4.71,3.098333333333333,4.083333333333333
4.71,3.098333333333333,4.083333333333333
4.71,3.098333333333333,4.083333333333333
4.4725,3.3137499999999998,4.1475
4.71,3.098333333333333,4.083333333333333
4.74,3.7979999999999996,4.582
4.74,3.7979999999999996,4.582
4.74,3.7979999999999996,4.582
5.5424999999999995,3.7225,5.785000000000001
5.5424999999999995,3.7225,5.785000000000001
5.5424999999999995,3.7225,5.785000000000001
5.5424999999999995,3.7225,5.785000000000001
5.534814814814814,3.9411111111111103,5.842592592592593
5.5424999999999995,3.7225,5.785000000000001
5.5424999999999995,3.7225,5.785000000000001
5.5424999999999995,3.7225,5.785000000000001
5.92,3.65,5.875
5.516666666666667,4.13,5.7
6.3500000000000005,3.6966666666666668,5.826666666666667
6.3500000000000005,3.6966666666666668,5.826666666666667
6.3500000000000005,3.6966666666666668,5.826666666666667
6.3500000000000005,3.6966666666666668,5.826666666666667
5.5616666666666665,3.9416666666666664,5.800000000000001
5.5616666666666665,3.9416666666666664,5.800000000000001
5.246825396825395,4.129365079365081,5.45126984126984
5.693888888888889,3.7844444444444445,5.832777777777778
5.67,4.069999999999999,5.958461538461538
5.731794871794871,3.893076923076925,5.858974358974359
5.5616666666666665,3.9416666666666664,5.800000000000001
5.5616666666666665,3.9416666666666664,5.800000000000001
5.731794871794871,3.893076923076925,5.858974358974359
5.5616666666666665,3.9416666666666664,5.800000000000001
3.988571428571429,5.318571428571429,4.248571428571429
3.988571428571429,5.318571428571429,4.248571428571429
3.988571428571429,5.318571428571429,4.248571428571429
7.08375,4.867500000000001,6.19125
6.0,3.71,6.5
5.543333333333333,4.036666666666666,6.173333333333333
5.543333333333333,4.036666666666666,6.173333333333333
5.543333333333333,4.036666666666666,6.173333333333333
7.52,4.69,6.08
7.52,4.69,6.08
7.305,4.535,6.7
7.52,4.69,6.08
4.408571428571428,4.314285714285715,4.678571428571429
4.64860465116279,4.474186046511628,4.914186046511628
4.64860465116279,4.474186046511628,4.914186046511628
4.379090909090909,4.363636363636364,4.601818181818182
4.379090909090909,4.363636363636364,4.601818181818182
4.379090909090909,4.363636363636364,4.601818181818182
4.408571428571428,4.314285714285715,4.678571428571429
4.408571428571428,4.314285714285715,4.678571428571429
4.64860465116279,4.474186046511628,4.914186046511628
4.64860465116279,4.474186046511628,4.914186046511628
5.82,4.36,6.0
5.82,4.36,6.0
5.82,4.36,6.0
5.182857142857143,3.1485714285714286,5.774285714285715
5.182857142857143,3.1485714285714286,5.774285714285715
5.21,3.0772727272727276,5.615454545454545
5.182857142857143,3.1485714285714286,5.774285714285715
5.182857142857143,3.1485714285714286,5.774285714285715
5.182857142857143,3.1485714285714286,5.774285714285715
5.21,3.0772727272727276,5.615454545454545
5.182857142857143,3.1485714285714286,5.774285714285715
5.21,3.0772727272727276,5.615454545454545
5.182857142857143,3.1485714285714286,5.774285714285715
6.52,5.65,5.42
5.165,3.39,5.335
5.165,3.39,5.335
4.992727272727273,3.8663636363636367,5.434545454545454
6.43,4.0,5.18
3.7835294117647065,4.655294117647059,4.424705882352941
3.7607692307692315,4.690769230769231,4.467692307692308
3.7835294117647065,4.655294117647059,4.424705882352941
3.7835294117647065,4.655294117647059,4.424705882352941
3.5652631578947367,4.893684210526315,4.256315789473685
4.02054054054054,4.652702702702702,4.436756756756757
3.5652631578947367,4.893684210526315,4.256315789473685
3.5652631578947367,4.893684210526315,4.256315789473685
5.112222222222222,4.617222222222223,5.353888888888888
5.112222222222222,4.617222222222223,5.353888888888888
5.112222222222222,4.617222222222223,5.353888888888888
5.112222222222222,4.617222222222223,5.353888888888888
5.112222222222222,4.617222222222223,5.353888888888888
5.2508333333333335,4.5995833333333325,5.518750000000001
5.112222222222222,4.617222222222223,5.353888888888888
3.7,5.36,5.53
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.79,2.85,6.0
5.587999999999999,4.1160000000000005,5.932
5.535714285714286,4.572857142857143,5.178571428571429
5.535714285714286,4.572857142857143,5.178571428571429
5.1025,4.1725,5.447500000000001
4.893333333333334,4.344166666666667,5.049166666666667
4.464285714285714,4.380000000000001,4.732857142857143
5.5352500000000004,4.104,5.43725
4.8575,4.4558333333333335,5.126666666666668
4.5625,4.240625,4.936874999999999
4.58,4.006,4.6579999999999995
5.149000000000001,4.101999999999999,5.375500000000001
4.58,4.006,4.6579999999999995
4.58,4.006,4.6579999999999995
4.58,4.006,4.6579999999999995
5.4433333333333325,3.983333333333333,5.581666666666666
5.075,3.185,5.395
5.075,3.185,5.395
6.3,4.355,6.21
5.681538461538462,5.128461538461538,5.609999999999999
5.79,3.5,6.13
5.79,3.5,6.13
5.79,3.5,6.13
5.79,3.5,6.13
5.972857142857142,3.5385714285714287,5.742857142857143
5.9575,3.5324999999999998,5.65
5.9575,3.5324999999999998,5.65
6.48,4.3,5.0
5.03,4.568333333333334,5.044999999999999
4.8692,4.402399999999999,5.2912
4.607692307692308,4.267692307692308,5.3792307692307695
4.8692,4.402399999999999,5.2912
3.95,5.05,4.71
4.207142857142857,3.6514285714285717,4.24
4.257272727272728,3.8063636363636366,4.370909090909091
6.9,3.785,6.445
6.9,3.785,6.445
4.544,3.848,4.934
4.544,3.848,4.934
5.460526315789474,3.896315789473684,5.760789473684211
5.503157894736842,4.1060526315789465,5.6215789473684215
5.409285714285714,3.9378571428571427,5.735
5.460526315789474,3.896315789473684,5.760789473684211
5.401333333333334,3.9573333333333336,5.665777777777776
5.503157894736842,4.1060526315789465,5.6215789473684215
5.409285714285714,3.9378571428571427,5.735
5.460526315789474,3.896315789473684,5.760789473684211
5.409285714285714,3.9378571428571427,5.735
5.332,3.686,5.478
5.332,3.686,5.478
5.332,3.686,5.478
5.636666666666667,3.7616666666666667,5.683333333333334
2.9,3.85,3.59
4.9,3.45,5.68
4.9,3.45,5.68
5.17,3.15,5.76
5.17,3.15,5.76
5.17,3.15,5.76
5.17,3.15,5.76
5.17,3.15,5.76
5.586666666666666,3.48,5.453333333333333
5.3100000000000005,3.4499999999999997,5.4
5.52,3.96,5.56
5.52,3.96,5.56
5.642857142857143,3.5942857142857143,5.528571428571428
5.501666666666666,4.265,5.7058333333333335
5.97,4.19,6.63
5.612499999999999,4.74125,5.965
5.612499999999999,4.74125,5.965
5.612499999999999,4.74125,5.965
5.97,4.19,6.63
5.612499999999999,4.74125,5.965
5.671999999999999,5.05,6.109999999999999
5.6725,4.35,5.7475
5.829999999999999,3.891666666666666,5.8258333333333345
5.5,3.05,5.56
4.745,3.9050000000000002,5.55
6.55,5.05,6.12
6.55,5.05,6.12
7.5600000000000005,4.03,5.75
5.0,3.32,5.89
5.0,3.32,5.89
5.0,3.32,5.89
5.0,3.32,5.89
6.165,4.47,6.0
3.1394117647058826,5.0047058823529404,4.271764705882353
3.1394117647058826,5.0047058823529404,4.271764705882353
3.035526315789474,4.85,4.102105263157895
3.1394117647058826,5.0047058823529404,4.271764705882353
3.1394117647058826,5.0047058823529404,4.271764705882353
3.1394117647058826,5.0047058823529404,4.271764705882353
3.1394117647058826,5.0047058823529404,4.271764705882353
3.5760606060606066,4.495757575757575,4.427878787878789
3.1394117647058826,5.0047058823529404,4.271764705882353
5.573846153846154,3.6761538461538454,5.601538461538461
5.375714285714286,4.28,4.917142857142857
5.32,3.23,4.96
5.975384615384616,4.644615384615384,5.450000000000001
5.133333333333334,3.8833333333333333,5.359999999999999
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.283333333333333,3.948333333333333,5.3116666666666665
5.133333333333334,3.8833333333333333,5.359999999999999
5.0475,3.9725,5.2825
5.0475,3.9725,5.2825
5.42,3.62,5.32
5.42,3.62,5.32
5.42,3.62,5.32
5.663333333333334,3.9433333333333334,5.783333333333334
5.105833333333333,4.838333333333334,4.904166666666667
5.105833333333333,4.838333333333334,4.904166666666667
5.105833333333333,4.838333333333334,4.904166666666667
4.835,4.455,5.045
4.835,4.455,5.045
4.835,4.455,5.045
4.800666666666666,4.895333333333332,4.824666666666666
5.105833333333333,4.838333333333334,4.904166666666667
5.105833333333333,4.838333333333334,4.904166666666667
5.35,5.0,5.1
5.83,5.0,5.54
5.62,3.8075,5.2162500000000005
5.62,3.8075,5.2162500000000005
5.62,3.8075,5.2162500000000005
5.62,3.8075,5.2162500000000005
4.32,3.8649999999999998,4.345
4.32,3.8649999999999998,4.345
4.32,3.8649999999999998,4.345
4.474166666666666,3.9566666666666674,4.516666666666667
5.42,3.9012499999999997,5.671875
5.42,3.9012499999999997,5.671875
5.42,3.9012499999999997,5.671875
5.42,3.9012499999999997,5.671875
4.974615384615385,4.07,5.321153846153846
5.42,3.9012499999999997,5.671875
4.974615384615385,4.07,5.321153846153846
5.42,3.9012499999999997,5.671875
5.42,3.9012499999999997,5.671875
5.283333333333334,3.6239999999999997,5.712000000000001
5.075,3.5,4.945
4.672499999999999,5.805,5.1075
4.5760000000000005,5.554,4.812
4.672499999999999,5.805,5.1075
3.3244444444444445,4.496666666666666,4.346666666666668
4.498571428571428,4.445714285714287,4.692857142857143
3.5691666666666664,5.198333333333333,4.37
5.53,3.36,4.43
4.826511627906976,4.082093023255814,5.296046511627907
4.956981132075472,4.086037735849055,5.424150943396226
4.956981132075472,4.086037735849055,5.424150943396226
4.930476190476191,4.203809523809523,5.326190476190477
4.93047619047619,4.203809523809523,5.326190476190477
7.3,6.1,6.05
5.486666666666667,4.653333333333333,6.008333333333333
5.6725,5.035,5.9025
5.486666666666667,4.653333333333333,6.008333333333333
5.244285714285715,4.565714285714286,5.807142857142857
6.62,4.42,6.41
4.2379999999999995,4.706,5.062
4.2379999999999995,4.706,5.062
4.2379999999999995,4.706,5.062
4.840000000000001,4.151333333333333,5.042000000000001
5.32,2.7,5.12
5.32,2.7,5.12
5.32,2.7,5.12
5.0183333333333335,4.075,5.45
5.0183333333333335,4.075,5.45
5.19,4.87,5.62
5.19,4.87,5.62
5.19,4.87,5.62
5.19,4.87,5.62
4.927727272727272,4.351363636363636,5.262272727272727
4.927727272727272,4.351363636363636,5.262272727272727
6.153529411764706,4.183529411764706,5.745294117647058
6.262,4.126,5.818666666666667
6.262,4.126,5.818666666666667
6.153529411764706,4.183529411764706,5.745294117647058
5.66375,4.294583333333333,5.520833333333333
6.411904761904763,4.279047619047619,5.845714285714286
6.262,4.126,5.818666666666667
6.205,3.81625,6.0725
6.205,3.81625,6.0725
5.381666666666667,4.32,5.07
5.381666666666667,4.32,5.07
5.381666666666667,4.32,5.07
5.381666666666667,4.32,5.07
5.52,4.29,4.6466666666666665
5.52,4.29,4.6466666666666665
5.381666666666667,4.32,5.07
7.29,2.82,5.76
4.533571428571429,4.335714285714285,4.764285714285715
4.5441666666666665,4.3975,4.809166666666667
4.533571428571429,4.335714285714285,4.764285714285715
4.5441666666666665,4.3975,4.809166666666667
4.683181818181819,4.2345454545454535,4.966818181818181
4.5441666666666665,4.3975,4.809166666666667
4.5441666666666665,4.3975,4.809166666666667
4.5441666666666665,4.3975,4.809166666666667
4.5441666666666665,4.3975,4.809166666666667
3.98,5.359999999999999,4.28
3.98,5.359999999999999,4.28
6.29,4.6,5.69
5.013333333333333,5.03,5.636666666666667
6.195714285714286,4.409999999999999,5.965714285714285
6.195714285714286,4.409999999999999,5.965714285714285
7.76,5.2,6.95
2.965555555555556,5.441851851851851,3.716296296296296
2.9666666666666663,6.011111111111111,3.5277777777777777
2.9666666666666663,6.011111111111111,3.5277777777777777
2.9666666666666663,6.011111111111111,3.5277777777777777
2.7278571428571428,5.195714285714286,3.5921428571428575
2.7278571428571428,5.195714285714286,3.5921428571428575
5.02,4.42,5.2411111111111115
5.02,4.42,5.2411111111111115
5.13,5.305,4.6850000000000005
5.13,5.305,4.6850000000000005
5.13,5.305,4.6850000000000005
5.086666666666667,4.786666666666666,4.75
6.35,3.33,6.14
5.7315,4.559500000000002,5.534999999999999
5.956,4.957999999999999,5.532000000000001
5.7315,4.559500000000002,5.534999999999999
5.7315,4.559500000000002,5.534999999999999
5.7315,4.559500000000002,5.534999999999999
5.7315,4.559500000000002,5.534999999999999
6.57,6.05,6.23
5.92,3.845,5.17
5.92,3.845,5.17
5.92,3.845,5.17
5.92,3.845,5.17
5.92,3.845,5.17
5.29,3.855,5.455
5.29,3.855,5.455
2.1,7.05,4.0
5.203333333333333,4.733333333333333,5.483333333333333
5.203333333333333,4.733333333333333,5.483333333333333
3.295,4.085,4.845000000000001
4.805714285714286,4.744285714285715,5.404285714285714
3.52,3.8200000000000003,3.6766666666666663
3.52,3.8200000000000003,3.6766666666666663
3.918888888888889,4.321111111111112,4.238888888888889
3.76909090909091,4.451818181818182,4.117272727272727
3.095,5.04,3.5700000000000003
5.670000000000001,4.59111111111111,5.058888888888888
5.670000000000001,4.59111111111111,5.058888888888888
5.670000000000001,4.59111111111111,5.058888888888888
5.670000000000001,4.59111111111111,5.058888888888888
4.89,4.3,5.39
4.89,4.3,5.39
4.5600000000000005,4.704,4.648000000000001
3.9133333333333336,4.3133333333333335,4.403333333333333
3.9133333333333336,4.3133333333333335,4.403333333333333
3.9133333333333336,4.3133333333333335,4.403333333333333
6.408571428571428,4.255714285714285,6.295714285714285
6.37,5.56,5.82
5.611428571428571,3.455714285714286,5.864285714285715
5.611428571428571,3.455714285714286,5.864285714285715
5.611428571428571,3.455714285714286,5.864285714285715
5.611428571428571,3.455714285714286,5.864285714285715
5.611428571428571,3.455714285714286,5.864285714285715
5.7909999999999995,3.4869999999999997,5.941999999999999
6.19,3.2,6.27
6.19,3.2,6.27
6.19,3.2,6.27
7.0975,4.86,5.9525
7.0975,4.86,5.9525
5.314117647058824,4.247058823529412,5.723529411764705
5.314117647058824,4.247058823529412,5.723529411764705
5.306875,4.27125,5.6987499999999995
5.148800000000001,4.096,5.6084000000000005
5.148800000000001,4.096,5.6084000000000005
5.314117647058824,4.247058823529412,5.723529411764705
6.008333333333333,4.253333333333333,5.951666666666665
5.296393442622953,4.182459016393442,5.541311475409836
5.996666666666667,3.84,5.37
5.996666666666667,3.84,5.37
5.996666666666667,3.84,5.37
5.996666666666667,3.84,5.37
5.425,4.04875,5.369999999999999
5.425,4.04875,5.369999999999999
4.47,4.14,4.36
5.436428571428572,3.692142857142857,5.667142857142857
5.436428571428572,3.692142857142857,5.667142857142857
6.296666666666667,3.8633333333333333,5.63
5.63,4.85,6.86
5.63,4.85,6.86
5.63,4.85,6.86
4.111666666666667,4.3950000000000005,4.263333333333333
4.111666666666667,4.3950000000000005,4.263333333333333
4.111666666666667,4.3950000000000005,4.263333333333333
5.32,2.95,4.35
5.376666666666667,4.574,5.290666666666667
5.376666666666667,4.574,5.290666666666667
5.376666666666667,4.574,5.290666666666667
4.9945,3.9715,5.123499999999999
5.708,3.8560000000000003,5.880000000000001
5.708,3.8560000000000003,5.880000000000001
5.79,3.05,5.43
5.79,3.05,5.43
6.63,3.7,5.26
3.5211111111111113,5.914444444444445,4.042222222222223
3.5211111111111113,5.914444444444445,4.042222222222223
3.44,5.985000000000001,4.0200000000000005
3.44,5.985000000000001,4.0200000000000005
3.5211111111111113,5.914444444444445,4.042222222222223
3.44,5.985000000000001,4.0200000000000005
5.14607142857143,3.7582142857142857,5.389285714285714
5.1225000000000005,3.54125,5.472499999999999
5.1000000000000005,3.7114285714285713,5.468571428571429
5.1225000000000005,3.54125,5.472499999999999
5.1225000000000005,3.54125,5.472499999999999
5.1000000000000005,3.7114285714285713,5.468571428571429
5.172499999999999,4.3625,5.300000000000001
5.172499999999999,4.3625,5.300000000000001
5.172499999999999,4.3625,5.300000000000001
5.172499999999999,4.3625,5.300000000000001
4.841111111111113,4.283333333333333,4.875555555555556
4.855714285714286,4.078571428571428,5.615714285714286
4.855714285714286,4.078571428571428,5.615714285714286
3.92375,3.840625,4.4174999999999995
3.3259999999999996,3.7640000000000002,3.532
6.68,5.33,5.53
6.68,5.33,5.53
6.68,5.33,5.53
6.68,5.33,5.53
4.878571428571428,4.158571428571428,5.43
4.7675,3.2975,3.965
5.075,3.8150000000000004,5.27
5.075,3.8150000000000004,5.27
5.075,3.8150000000000004,5.27
5.075,3.8150000000000004,5.27
5.075,3.8150000000000004,5.27
4.894285714285715,5.123571428571428,4.725714285714285
4.792,4.965999999999999,4.458
4.792,4.965999999999999,4.458
5.993125,4.11,6.3706249999999995
5.812,4.0755,6.124999999999999
5.95,5.61,4.76
5.95,5.61,4.76
5.95,5.61,4.76
5.95,5.61,4.76
5.95,5.61,4.76
5.95,5.61,4.76
4.27,4.263,4.892
4.27,4.263,4.892
5.868333333333335,4.34,5.773333333333333
6.012,4.273,5.830000000000001
4.35,2.75,3.64
5.98,3.1566666666666667,5.476666666666667
5.98,3.1566666666666667,5.476666666666667
5.98,3.1566666666666667,5.476666666666667
5.47,3.915,5.425000000000001
5.47,3.915,5.425000000000001
5.95,3.86,6.04
4.15,5.8,4.44
5.37375,4.471875,5.4625
4.869130434782608,4.141739130434782,5.099565217391304
4.869130434782608,4.141739130434782,5.099565217391304
5.062307692307693,4.033076923076924,5.306153846153846
4.869130434782608,4.141739130434782,5.099565217391304
6.25,4.8,4.86
6.25,4.8,4.86
6.25,4.8,4.86
5.027142857142857,4.468571428571429,5.014285714285714
3.24,4.26,3.83
3.24,4.26,3.83
2.5,5.38,3.12
4.423333333333333,4.25,4.866666666666667
2.5,5.38,3.12
2.5,5.38,3.12
2.385,5.404999999999999,3.19
2.5,5.38,3.12
4.835,3.39,4.995
4.835,3.39,4.995
4.37625,4.391249999999999,5.0737499999999995
4.988333333333334,3.866666666666667,5.206666666666667
4.827272727272728,4.370909090909091,4.965454545454545
4.988333333333334,3.866666666666667,5.206666666666667
4.744000000000001,3.7880000000000003,5.048
5.5,4.1,6.11
3.66625,4.48125,4.615
3.66625,4.48125,4.615
6.35,2.95,6.77
7.055,3.455,6.225
5.67,4.12,6.62
5.636666666666666,3.936666666666666,6.096666666666667
4.67,4.04,4.55
4.67,4.04,4.55
4.6890909090909085,4.907272727272727,5.097272727272728
4.6890909090909085,4.907272727272727,5.097272727272728
4.6890909090909085,4.907272727272727,5.097272727272728
3.21,3.5,4.26
3.21,3.5,4.26
3.91,4.16,4.43
3.91,4.16,4.43
5.32,4.5,5.95
5.04,3.8649999999999998,4.955
4.76,4.43,5.29
4.76,4.43,5.29
4.5,3.2,4.76
4.5,3.2,4.76
4.5,3.2,4.76
6.126666666666668,4.927222222222223,5.733888888888888
6.126666666666668,4.927222222222223,5.733888888888888
5.324516129032257,4.624193548387097,5.1974193548387095
5.732380952380953,4.060476190476191,5.794761904761905
5.545,3.955,5.49
5.545,3.955,5.49
5.732380952380953,4.060476190476191,5.794761904761905
5.545,3.955,5.49
5.545,3.955,5.49
5.732380952380953,4.060476190476191,5.794761904761905
5.74,4.24,5.0
5.34,3.483333333333333,5.586666666666666
5.306666666666667,3.6300000000000003,5.466666666666666
6.165714285714286,4.072857142857143,5.725714285714285
6.717999999999999,4.3740000000000006,6.156
5.91,6.263333333333333,6.109999999999999
5.85,3.94,4.96
5.903333333333333,4.146666666666667,5.473333333333334
5.903333333333333,4.146666666666667,5.473333333333334
6.08,4.24,5.23
6.08,4.24,5.23
5.6085714285714285,3.347142857142857,5.442857142857143
6.08,4.24,5.23
4.5,2.5,4.68
7.55,4.29,6.56
7.55,4.29,6.56
5.546666666666667,3.8266666666666667,4.27
5.546666666666667,3.8266666666666667,4.27
5.02,3.94,3.88
5.02,3.94,3.88
5.546666666666667,3.8266666666666667,4.27
4.84,4.27,3.29
6.1,4.41,5.32
6.1,4.41,5.32
6.1,4.41,5.32
6.1,4.41,5.32
6.1,4.41,5.32
6.33875,4.6875,6.030625
1.62,5.83,2.5
1.62,5.83,2.5
6.0,3.59,5.0
6.0,3.59,5.0
6.0,3.59,5.0
6.0,3.59,5.0
6.0,3.59,5.0
5.321428571428571,3.695714285714286,5.111428571428571
5.321428571428571,3.695714285714286,5.111428571428571
5.321428571428571,3.695714285714286,5.111428571428571
4.475,4.265,4.922499999999999
4.475,4.265,4.922499999999999
5.963000000000001,4.196,5.4
5.963000000000001,4.196,5.4
6.77,3.91,7.0
6.928181818181819,3.8654545454545466,6.484545454545454
6.5649999999999995,3.8549999999999995,6.3125
5.4,2.56,4.45
