Word,V,A,D
encirclement,4.10875,4.2175,4.935
megahit,5.68,5.35,5.75
lunkhead,3.815,4.818333333333333,4.565
dumbass,3.815,4.818333333333333,4.565
fuckhead,3.815,4.818333333333333,4.565
dunderhead,3.815,4.818333333333333,4.565
numskull,3.815,4.818333333333333,4.565
loggerhead,3.815,4.818333333333333,4.565
muttonhead,3.815,4.818333333333333,4.565
blighter,5.113793103448276,4.189655172413793,5.158275862068965
fella,5.293703703703704,4.096296296296296,5.27037037037037
rakehell,4.923636363636363,4.140454545454545,5.086818181818183
profligate,4.71,4.28774193548387,4.884516129032257
roue,4.923636363636363,4.140454545454545,5.086818181818183
bloodletting,2.83,5.04,3.235
battue,2.83,5.04,3.235
sleuthhound,5.0,4.59,4.84
gore,4.006,4.343999999999999,4.41
sanguinary,2.5599999999999996,5.0,4.5
crashing,5.721363636363637,5.225909090909091,5.200909090909092
bally,5.721363636363637,5.225909090909091,5.200909090909092
rosiness,5.7138888888888895,4.451388888888889,5.696944444444445
heyday,5.66974358974359,4.324615384615386,5.625384615384618
efflorescence,5.467727272727274,4.380909090909092,5.464318181818183
drawers,5.224,4.1626666666666665,5.125333333333333
bloomer,5.02,4.7736363636363635,5.095454545454545
botch,4.744912280701756,4.465789473684211,4.938070175438598
pratfall,5.02,4.7736363636363635,5.095454545454545
blooper,5.02,4.7736363636363635,5.095454545454545
bungle,4.744912280701756,4.465789473684211,4.938070175438598
fuckup,4.770714285714285,4.742142857142857,4.981428571428571
flub,4.744912280701756,4.465789473684211,4.938070175438598
smirch,4.445135135135136,3.9186486486486483,4.942162162162163
daub,4.623703703703704,3.852962962962962,5.162222222222223
swash,4.780208333333333,4.261666666666667,5.1520833333333345
fellate,4.822758620689655,4.2,5.192413793103451
bodge,4.643541666666668,4.399583333333333,4.869375000000002
C,4.928333333333333,4.1770000000000005,5.132333333333334
bluster,4.841081081081081,4.406756756756757,5.1875675675675685
bobble,4.643541666666668,4.399583333333333,4.869375000000002
mishandle,4.58450980392157,4.408235294117647,4.879607843137256
vaunt,4.811944444444444,4.398611111111111,5.163888888888889
bumble,4.590185185185185,4.438888888888889,4.860000000000001
bollix,4.643541666666668,4.399583333333333,4.869375000000002
gasconade,4.848684210526317,4.413157894736842,5.250000000000001
globefish,4.62,3.95,4.5
pufferfish,4.62,3.95,4.5
puffer,4.62,3.95,4.5
laugher,5.465833333333333,4.703333333333334,5.284166666666667
walkaway,5.465833333333333,4.703333333333334,5.284166666666667
blowlamp,5.239999999999999,4.973333333333334,5.553333333333334
sniffle,4.012,4.362,4.898
snuffle,3.8175,4.1899999999999995,4.8225
snivel,3.7771428571428567,4.472857142857142,4.61142857142857
avoirdupois,5.117777777777778,4.538888888888889,5.083333333333333
fatness,5.117777777777778,4.538888888888889,5.083333333333333
blub,3.295,4.08,4.359999999999999
blueing,4.3665,4.160500000000001,4.806500000000001
bluish,4.415789473684211,4.189473684210527,4.773157894736843
down,5.015714285714284,4.145630252100841,5.235378151260503
risque,4.862692307692308,4.516923076923077,5.018846153846154
dispirited,4.141818181818182,4.293181818181818,4.641363636363636
downcast,4.148837209302325,4.315581395348837,4.640697674418604
gamey,5.120888888888889,4.463333333333333,5.238666666666668
gamy,5.120888888888889,4.463333333333333,5.238666666666668
blueish,4.415789473684211,4.189473684210527,4.773157894736843
drear,4.079622641509434,4.377358490566038,4.590566037735849
bluing,4.3665,4.160500000000001,4.806500000000001
puritanic,4.415789473684211,4.189473684210527,4.773157894736843
puritanical,4.558695652173914,4.146521739130435,4.892608695652174
blueness,4.3665,4.160500000000001,4.806500000000001
disconsolate,4.079622641509434,4.377358490566038,4.590566037735849
Amytal,4.3665,4.160500000000001,4.806500000000001
downhearted,4.148837209302325,4.315581395348837,4.640697674418604
Bluegrass,5.65,3.35,5.9
megrims,4.98,3.65,5.615
vapors,4.98,3.65,5.615
vapours,4.98,3.65,5.615
deaden,4.803125,3.8431250000000006,4.794999999999999
plainspoken,5.007777777777777,3.8244444444444445,5.282222222222222
frank,5.157142857142858,4.050952380952382,5.298095238095238
benumb,4.130476190476189,3.405714285714286,4.683809523809524
obnubilate,4.3276315789473685,4.138684210526315,4.50078947368421
smutch,3.996923076923077,3.7861538461538453,4.701538461538461
blear,4.14125,3.6525000000000003,4.790000000000001
muzzy,4.71,3.098333333333333,4.083333333333333
blurred,4.71,3.098333333333333,4.083333333333333
bleary,4.71,3.098333333333333,4.083333333333333
redden,5.536666666666666,4.825416666666666,5.521249999999998
gameboard,5.24,3.251666666666667,5.505
lodger,5.15,3.75,5.44
roomer,5.15,3.75,5.44
embarkation,5.366666666666666,3.2900000000000005,5.266666666666667
embarkment,5.366666666666666,3.2900000000000005,5.266666666666667
boasting,5.192857142857143,4.275714285714286,5.562857142857143
jactitation,5.192857142857143,4.275714285714286,5.562857142857143
sauceboat,6.36,4.05,5.59
yachting,6.495,4.345,5.705
carload,5.45,4.29,5.19
shipload,5.45,4.29,5.19
boater,5.539999999999999,3.5566666666666666,5.776666666666666
waterman,5.38,3.6,6.33
bob,5.203448275862067,4.09344827586207,5.315517241379309
bobsleigh,6.0,4.57,5.52
prefigure,5.33,4.071538461538462,5.313846153846155
auspicate,5.33,4.071538461538462,5.313846153846155
presage,5.329999999999999,4.071538461538461,5.313846153846155
augur,5.33,4.071538461538462,5.313846153846155
portend,5.33,4.071538461538462,5.313846153846155
foreshadow,5.33,4.071538461538462,5.313846153846155
betoken,5.260930232558139,4.086976744186047,5.5665116279069755
somatic,4.766666666666667,3.981666666666667,4.828333333333333
consistence,5.574999999999999,3.6775,5.8525
eubstance,5.574999999999999,3.6775,5.8525
soundbox,5.575,3.6775,5.852500000000001
bogy,3.58,4.86,3.75
bogie,3.58,4.86,3.75
bugbear,3.5366666666666666,4.52,3.6733333333333333
bugaboo,3.5366666666666666,4.52,3.6733333333333333
Gipsy,6.05,4.79,4.25
Bohemian,6.05,4.79,4.25
Roma,6.05,4.79,4.25
Romany,6.05,4.79,4.25
Rommany,6.05,4.79,4.25
Gypsy,6.05,4.79,4.25
Romani,6.05,4.79,4.25
roil,4.66,4.85,4.875
moil,4.958852459016393,4.089344262295082,5.244590163934427
furuncle,4.66,4.85,4.875
seethe,5.1179999999999986,3.943333333333333,5.230333333333335
boldface,5.546666666666667,4.859999999999999,5.68
rigidly,4.582857142857143,5.1657142857142855,4.961428571428572
abscond,4.582857142857143,5.1657142857142855,4.961428571428572
decamp,4.7735714285714295,4.682857142857142,5.067142857142858
absquatulate,4.582857142857143,5.1657142857142855,4.961428571428572
deadbolt,4.582857142857143,5.1657142857142855,4.961428571428572
stiffly,4.810526315789474,4.688947368421052,5.306842105263159
zep,5.009090909090909,4.718636363636363,5.035909090909092
hoagy,5.009090909090909,4.718636363636363,5.035909090909092
hoagie,5.009090909090909,4.718636363636363,5.035909090909092
windfall,5.6691666666666665,4.7475,5.495833333333334
bunce,5.6691666666666665,4.7475,5.495833333333334
thrall,3.19,5.550000000000001,3.4800000000000004
thraldom,3.19,5.550000000000001,3.4800000000000004
thralldom,3.19,5.550000000000001,3.4800000000000004
soldering,5.383333333333334,3.763333333333333,5.001666666666666
bondman,3.58,4.24,4.5
bondswoman,3.58,4.24,4.5
debone,5.444000000000001,3.8879999999999995,5.587999999999999
swot,4.798571428571429,4.132380952380952,5.135238095238096
os,5.444000000000001,3.8879999999999995,5.587999999999999
balefire,6.53,4.67,5.35
cowling,4.186249999999999,4.19125,4.785
cowl,4.186249999999999,4.19125,4.785
comely,6.291538461538462,3.908461538461538,6.0030769230769225
sightly,6.283333333333333,3.8322222222222226,5.642222222222222
bonnie,6.283333333333333,3.8322222222222226,5.642222222222222
fillip,7.550000000000001,5.755000000000001,6.445
osteal,4.29,4.545,5.48
boney,4.612,4.286,5.26
pinched,3.8475,4.5575,5.215
gaunt,4.29,4.545,5.48
wasted,4.306666666666667,4.055833333333334,4.849166666666666
osseous,4.29,4.545,5.48
emaciated,4.29,4.545,5.48
haggard,4.29,4.545,5.48
cadaverous,4.29,4.545,5.48
titty,5.4175,4.743999999999999,5.306
knocker,5.392857142857144,4.6899999999999995,5.28047619047619
playscript,5.865555555555555,3.7744444444444443,5.827777777777778
Quran,5.8757142857142854,3.9057142857142857,5.668571428571427
leger,5.8757142857142854,3.9057142857142857,5.668571428571427
Koran,5.8757142857142854,3.9057142857142857,5.668571428571427
clerking,5.16,3.48,5.83
leaflet,4.876,3.092,5.306
bookmarker,6.26,3.0,6.47
bookstall,6.945,4.234999999999999,7.075
pedant,6.65,3.135,5.995
lifter,5.614285714285714,4.682857142857143,5.677142857142857
plugger,5.614285714285714,4.682857142857143,5.677142857142857
kicking,4.818124999999999,4.8218749999999995,5.303750000000001
Booth,4.5925,3.4125,4.8475
moonshiner,5.56,4.85,5.56
spirits,5.506666666666667,5.373333333333334,5.173333333333333
fuddle,4.6742857142857135,4.349821428571429,4.88375
BoP,5.0,4.0325,5.0625
delimitation,5.1075,4.3116666666666665,5.2
moulding,5.136999999999999,4.031999999999999,5.503000000000001
molding,5.136999999999999,4.031999999999999,5.503000000000001
mete,5.1075,4.3116666666666665,5.2
environ,5.438684210526315,4.127631578947368,5.239473684210527
bore,4.5538235294117655,3.7082352941176473,5.029705882352942
tedium,3.45,2.92,4.87
drilling,3.8385714285714285,3.2142857142857144,5.140000000000001
irksome,4.134285714285714,3.41,4.801904761904761
deadening,4.066521739130435,3.451304347826087,4.676086956521738
wearisome,4.134285714285714,3.41,4.801904761904761
Born,5.558275862068966,3.800689655172414,5.402068965517241
B,4.1,2.91,5.28
Bos,5.077142857142857,3.468571428571429,5.321428571428571
emboss,4.786666666666666,3.5016666666666665,5.177777777777776
hirer,5.077142857142857,3.468571428571429,5.321428571428571
magisterial,6.186428571428572,4.144642857142858,5.900357142857144
autocratic,2.86,4.68,4.73
peremptory,2.86,4.68,4.73
botanic,5.77,3.25,5.73
phytology,5.87,3.4,5.24
flora,5.438750000000001,3.5487500000000005,5.465000000000001
disoblige,3.2277272727272734,4.846818181818182,4.211363636363637
incommode,3.2277272727272734,4.846818181818182,4.211363636363637
discommode,3.2277272727272734,4.846818181818182,4.211363636363637
bottleful,5.47,3.32,5.88
chokepoint,4.5,4.48,5.0
constriction,4.5,4.48,5.0
bottomland,5.238235294117646,4.094117647058823,5.281764705882353
merchantman,5.238235294117647,4.094117647058824,5.281764705882352
undersurface,5.238235294117646,4.094117647058823,5.281764705882353
underside,5.238235294117646,4.094117647058823,5.281764705882353
bounciness,5.318571428571429,4.868571428571429,5.167142857142857
leaping,5.232142857142857,4.353928571428571,4.974285714285714
jounce,4.703,4.906499999999999,5.086
bouncing,5.9817647058823535,4.931176470588234,5.752941176470587
saltation,5.231891891891891,4.381891891891891,5.0562162162162165
reverberate,5.241935483870966,4.2945161290322575,5.149516129032261
resile,4.9447368421052635,4.391842105263158,4.866315789473684
springy,6.042916666666667,4.662916666666667,6.016249999999999
apprenticed,4.9679166666666665,4.417083333333333,4.823333333333333
indentured,4.9679166666666665,4.417083333333333,4.823333333333333
bounds,4.9679166666666665,4.417083333333333,4.823333333333333
bandaged,4.9679166666666665,4.417083333333333,4.823333333333333
destined,4.9679166666666665,4.417083333333333,4.823333333333333
articled,4.9679166666666665,4.417083333333333,4.823333333333333
trammel,4.6242857142857146,4.394821428571429,4.9383928571428575
amplitude,5.635,5.175,5.655
Bounty,5.635,5.175,5.655
bountifulness,5.635,5.175,5.655
bounteousness,5.635,5.175,5.655
fragrancy,6.93875,4.205,5.87375
posy,6.7525,3.955,5.9475
nosegay,6.7525,3.955,5.9475
redolence,6.93875,4.205,5.87375
Bourbon,5.7,5.95,5.69
bovid,4.4,3.5,6.19
bowknot,4.902500000000001,3.7337499999999997,5.16625
obeisance,5.064,3.7950000000000004,5.265
accede,5.291153846153846,3.9207692307692303,5.671538461538461
prow,4.782,3.9846666666666675,5.128666666666666
bowing,4.902500000000001,3.7337499999999997,5.16625
bowlful,5.372,4.0840000000000005,5.2700000000000005
derby,5.18,3.64,5.35
boxful,5.11,3.5933333333333337,4.906666666666666
loge,5.11,3.5933333333333337,4.906666666666666
boxwood,5.11,3.5933333333333337,4.906666666666666
Boxer,5.2775,4.28,5.7575
bagger,5.2775,4.28,5.7575
pugilist,5.2775,4.28,5.7575
underdrawers,5.346666666666668,4.023333333333333,5.538333333333334
boxershorts,5.346666666666668,4.023333333333333,5.538333333333334
pugilism,4.99,4.376666666666667,5.156666666666667
packing,4.99,4.376666666666667,5.156666666666667
fisticuffs,4.7425,4.84,4.975
swain,5.824375,3.8537500000000002,5.498750000000001
beau,5.950937499999999,4.120312499999999,5.608750000000001
schoolboyish,5.73,4.63,5.62
boylike,5.73,4.63,5.62
zany,4.8425,4.632727272727272,4.663636363636363
bandeau,5.95,4.3,5.585
stabilise,6.2713636363636365,4.130909090909092,5.996818181818182
couplet,6.0064,4.132000000000001,5.599200000000001
bracing,6.119512195121952,4.288780487804877,5.896829268292684
suspender,6.2173333333333325,4.238,5.786666666666667
distich,6.0064,4.132000000000001,5.599200000000001
bitstock,6.2173333333333325,4.238,5.786666666666667
duad,6.0064,4.132000000000001,5.599200000000001
braces,6.2173333333333325,4.238,5.786666666666667
dyad,6.0064,4.132000000000001,5.599200000000001
gallus,6.2173333333333325,4.238,5.786666666666667
wristband,6.48,3.96,5.0
watchband,6.48,3.96,5.0
watchstrap,6.48,3.96,5.0
vaporing,4.877777777777778,4.294444444444444,5.568888888888889
braiding,5.656666666666666,3.973333333333333,6.083333333333333
pleach,5.656666666666666,3.973333333333333,6.083333333333333
tress,4.930769230769231,4.157692307692309,5.173076923076923
plait,4.904814814814815,4.201851851851853,5.182222222222221
nous,5.752758620689655,4.361379310344827,5.895862068965517
Einstein,6.2200000000000015,4.624999999999999,6.041250000000001
brainiac,6.2200000000000015,4.624999999999999,6.041250000000001
encephalon,6.0575,4.82125,6.112500000000001
brainpower,6.141666666666667,4.5375,6.0275
brainwave,6.38,5.166666666666667,6.086666666666666
bracken,4.9,3.82,5.67
ramification,4.754166666666667,3.645,5.05
offshoot,5.325,3.797857142857142,5.579285714285713
ramify,4.8694736842105275,3.90157894736842,5.246842105263156
furcate,4.8694736842105275,3.90157894736842,5.246842105263156
firebrand,4.645,4.171,5.231999999999999
marque,4.645,4.171,5.231999999999999
stigmatize,4.552941176470589,4.525294117647059,5.01529411764706
stigmatise,4.552941176470589,4.525294117647059,5.01529411764706
mark,5.0382987551867195,4.095933609958507,5.383526970954355
brandmark,4.739090909090908,4.0645454545454545,5.309090909090909
nervy,4.2725,4.75375,4.705
boldness,5.249199999999999,4.3008,5.632
braw,6.143750000000001,4.573125,5.763124999999999
courageousness,7.525,5.42,6.92
braveness,7.525,5.42,6.92
fearlessness,7.525,5.42,6.92
wrangle,4.275555555555556,4.275555555555555,5.109999999999999
muscularity,5.824285714285714,5.021428571428571,5.7700000000000005
sinew,5.420000000000001,4.166666666666667,5.6866666666666665
heftiness,5.575,4.6,6.1899999999999995
brawniness,5.575,4.6,6.1899999999999995
infract,4.087887323943662,4.700985915492957,4.659014084507043
transgress,4.0166666666666675,4.752345679012344,4.625185185185185
lolly,4.7352500000000015,4.561499999999999,5.151250000000001
lucre,5.084642857142858,4.430892857142857,5.3010714285714275
pelf,4.628918918918919,4.591621621621621,5.125945945945946
moolah,4.628918918918919,4.591621621621621,5.125945945945946
breadstuff,5.586250000000001,4.0725,5.665
dinero,4.628918918918919,4.591621621621621,5.125945945945946
boodle,4.628918918918919,4.591621621621621,5.125945945945946
wampum,4.628918918918919,4.591621621621621,5.125945945945946
simoleons,4.628918918918919,4.591621621621621,5.125945945945946
clams,4.628918918918919,4.591621621621621,5.125945945945946
shekels,4.628918918918919,4.591621621621621,5.125945945945946
gelt,4.628918918918919,4.591621621621621,5.125945945945946
comprehensiveness,5.416666666666667,3.513333333333333,5.706666666666666
largeness,5.029999999999999,3.67,5.425
faulting,4.508472222222224,4.507916666666666,4.912499999999998
prisonbreak,4.495882352941176,4.620980392156863,4.907843137254902
intermit,4.345593220338983,4.56406779661017,4.79813559322034
gaolbreak,4.495882352941176,4.620980392156863,4.907843137254902
demote,4.478484848484849,4.528484848484849,4.834696969696969
dampen,4.3827368421052615,4.207999999999998,4.886
breaking,4.495882352941176,4.620980392156863,4.907843137254902
breakout,4.495882352941176,4.620980392156863,4.907843137254902
breakage,4.495882352941176,4.620980392156863,4.907843137254902
recrudesce,4.6262500000000015,4.512361111111111,5.047083333333332
separatist,4.67,4.6,5.81
fissiparous,4.67,4.6,5.81
dislocation,4.1375,4.522500000000001,4.24375
partitioning,4.6000000000000005,3.817142857142857,5.167142857142857
ledgeman,4.98,5.16,5.35
breakers,5.24,4.41,5.3625
dissolution,3.1799999999999997,4.44,4.55
front,5.600208333333334,4.166041666666667,5.607291666666664
intimation,5.5695,4.002000000000001,5.571
respire,6.613333333333333,2.9500000000000006,5.753333333333334
suspire,6.0325,2.9400000000000004,5.565
schnorkel,6.1866666666666665,3.16,5.386666666666667
schnorchel,6.1866666666666665,3.16,5.386666666666667
pulseless,5.5,4.72,5.146666666666667
dyspnoeic,5.5,4.72,5.146666666666667
dyspneal,5.5,4.72,5.146666666666667
dyspnoeal,5.5,4.72,5.146666666666667
dyspneic,5.5,4.72,5.146666666666667
engender,5.658382352941177,4.093382352941178,5.646764705882354
rearing,5.910588235294119,4.3094117647058825,5.804705882352941
fostering,6.005000000000001,4.2975,5.8862499999999995
raising,5.355116279069767,4.256511627906977,5.6067441860465115
fosterage,6.005000000000001,4.2975,5.8862499999999995
genteelness,5.842727272727273,4.370909090909091,5.874545454545454
gentility,5.842727272727273,4.370909090909091,5.874545454545454
walkover,4.8917391304347815,4.466086956521739,5.245652173913043
blowy,5.25,4.360000000000001,4.856
Brother,6.374285714285714,4.074285714285714,5.68
crony,6.374285714285714,4.074285714285714,5.68
brewage,5.42,3.5,5.71
sweetbriar,4.95,4.0,4.58
eglantine,4.95,4.0,4.58
bullbrier,4.95,4.0,4.58
greenbrier,4.95,4.0,4.58
catbrier,4.95,4.0,4.58
brier,4.95,4.0,4.58
sweetbrier,4.95,4.0,4.58
nuptial,6.1,4.63,5.875
Bride,6.8,4.5,6.08
Brigid,6.8,4.5,6.08
Bridget,6.8,4.5,6.08
bridgework,5.59,3.29,5.28
nosepiece,5.59,3.29,5.28
abbreviated,6.0,3.42,5.39
undimmed,6.923750000000002,4.7375,6.383750000000001
burnished,6.0430769230769235,4.455,5.822307692307692
brilliantly,6.923750000000002,4.7375,6.383750000000001
lustrous,6.004444444444444,4.444444444444445,5.801111111111112
brightly,6.923750000000002,4.7375,6.383750000000001
smartness,5.711111111111112,4.428888888888888,5.651666666666666
luminance,5.634999999999999,4.25076923076923,5.445384615384615
luminosity,5.634999999999999,4.25076923076923,5.445384615384615
luminousness,5.634999999999999,4.25076923076923,5.445384615384615
grandness,6.359999999999999,4.6690000000000005,5.986000000000001
splendour,6.18125,4.76375,5.9125
refreshful,6.063076923076924,4.318076923076923,5.960384615384616
brisken,5.986666666666666,4.748888888888889,6.115555555555555
toffy,5.025,4.71,5.415
brickle,5.025,4.71,5.415
brickly,5.025,4.71,5.415
unannealed,5.025,4.71,5.415
breastpin,5.2725,3.4925,5.4475
unspecific,5.75,3.3657142857142857,5.837142857142857
unsubtle,5.75,3.3657142857142857,5.837142857142857
propagate,5.396363636363638,3.9409090909090922,5.498787878787878
circularize,5.396363636363638,3.9409090909090922,5.498787878787878
programme,5.361666666666666,3.828888888888889,5.715555555555555
disseminate,5.396363636363638,3.9409090909090922,5.498787878787878
circularise,5.396363636363638,3.9409090909090922,5.498787878787878
diversify,6.052499999999999,4.04875,5.699999999999999
philippic,4.304,3.75,4.828
tirade,4.304,3.75,4.828
unkept,4.345555555555555,4.6304444444444455,4.820666666666668
busted,4.345555555555555,4.6304444444444455,4.820666666666668
humiliated,4.327466666666666,4.467866666666667,4.824666666666666
disordered,4.251764705882353,4.629411764705883,4.731764705882352
humbled,4.380144927536231,4.476376811594203,4.840724637681159
heartsick,2.7433333333333336,5.55,3.526666666666667
broke,4.388571428571429,4.363571428571428,4.997857142857142
skint,4.388571428571429,4.363571428571428,4.997857142857142
banality,4.701666666666667,3.3250000000000006,4.775
platitude,4.701666666666667,3.3250000000000006,4.775
cliche,4.701666666666667,3.3250000000000006,4.775
broncho,5.83,4.25,4.28
bronc,5.83,4.25,4.28
bronzy,5.93,3.685,5.45
grizzle,4.419047619047619,4.087142857142857,4.96904761904762
incubate,5.23897435897436,3.758205128205128,5.406410256410256
musing,4.890625,3.6856250000000004,5.286875000000001
ruminative,4.700833333333333,3.5916666666666672,5.043333333333333
pensive,4.700833333333333,3.5916666666666672,5.043333333333333
pondering,4.700833333333333,3.5916666666666672,5.043333333333333
broody,4.846428571428571,3.5221428571428572,5.062857142857143
pensiveness,4.700833333333333,3.5916666666666672,5.043333333333333
meditative,4.700833333333333,3.5916666666666672,5.043333333333333
contemplative,4.700833333333333,3.5916666666666672,5.043333333333333
ling,5.385,3.6100000000000003,5.76
heather,5.385,3.6100000000000003,5.76
bordello,4.32,5.2,4.763333333333333
bawdyhouse,4.32,5.2,4.763333333333333
sodality,5.3625,4.3675,5.5725
brotherlike,7.45,4.44,6.31
fraternal,7.45,4.44,6.31
supercilium,5.390000000000001,3.0925000000000002,5.64
brownish,5.52,3.32,4.65
embrown,5.52,3.32,4.65
brownness,5.52,3.32,4.65
browned,5.52,3.32,4.65
Brown,5.52,3.32,4.65
browsing,5.687142857142858,3.9571428571428577,5.558571428571428
contuse,3.325714285714286,5.0042857142857144,4.014285714285714
spite,4.0059999999999985,4.68125,4.509749999999999
brunet,6.35,4.15,5.36
copse,4.74,4.295000000000001,5.071666666666666
coppice,4.74,4.295000000000001,5.071666666666666
brushwood,4.74,4.295000000000001,5.071666666666666
brushing,4.74,4.295000000000001,5.071666666666666
barbarous,3.607692307692307,5.418461538461538,4.409230769230769
fell,4.323906250000001,4.636874999999999,4.6996875
roughshod,3.607692307692307,5.418461538461538,4.409230769230769
ferociousness,2.43,4.96,3.89
barbarism,2.43,4.96,3.89
viciousness,2.43,4.96,3.89
savagery,2.43,4.96,3.89
effervescing,6.880000000000001,4.285,6.234999999999999
foamy,6.880000000000001,4.285,6.234999999999999
spumy,6.880000000000001,4.285,6.234999999999999
foaming,6.880000000000001,4.285,6.234999999999999
frothy,6.72,4.779999999999999,5.781666666666666
bubbling,6.72,4.779999999999999,5.781666666666666
sawhorse,4.866,4.769,5.170000000000001
sawbuck,4.866,4.769,5.170000000000001
Buck,4.845555555555555,4.834444444444443,5.193333333333333
buckeroo,5.53,4.29,4.7
vaquero,5.53,4.29,4.7
bucketful,4.525,2.6,5.3
crumple,4.8892105263157895,4.042105263157896,5.066842105263158
bud,6.16,4.48,6.22
Budge,4.6225000000000005,4.16,5.24
burnish,6.245,4.0822222222222235,5.886666666666667
furbish,6.536666666666666,4.838333333333333,5.861666666666667
devotee,6.536666666666666,4.838333333333333,5.861666666666667
cowcatcher,5.997,4.101000000000001,5.932
polisher,5.868333333333333,3.8683333333333336,5.778333333333332
sideboard,5.644444444444445,4.165555555555556,5.6255555555555565
hemipteron,3.893333333333334,4.731111111111111,4.335555555555556
microbe,4.131666666666667,4.670000000000001,4.443333333333333
hemipteran,3.893333333333334,4.731111111111111,4.335555555555556
sodomize,4.279999999999999,2.7199999999999998,4.7
sodomist,4.3933333333333335,3.1300000000000003,5.0200000000000005
sodomise,4.279999999999999,2.7199999999999998,4.7
sodomite,4.3933333333333335,3.1300000000000003,5.0200000000000005
roadster,5.120714285714286,4.372142857142856,4.643571428571428
bugleweed,5.05,4.41,5.42
habitus,5.666923076923077,3.926923076923077,5.924615384615384
constructor,5.95,3.32,6.93
medulla,5.705,3.165,5.745
swelling,5.307419354838708,4.290645161290323,5.24709677419355
protrusion,5.4366666666666665,4.4292592592592595,5.29814814814815
prominence,5.67695652173913,4.456521739130435,5.355217391304348
gibbosity,5.67695652173913,4.456521739130435,5.355217391304348
jut,5.617441860465116,4.283953488372094,5.536976744186046
gibbousness,5.67695652173913,4.456521739130435,5.355217391304348
protuberance,5.67695652173913,4.456521739130435,5.355217391304348
protrude,5.608,4.139000000000001,5.558000000000001
excrescence,5.67695652173913,4.456521739130435,5.355217391304348
extrusion,5.428888888888888,4.427407407407408,5.192222222222223
strapper,3.8770000000000002,4.813,4.753
dogshit,3.880909090909091,4.736666666666666,4.567575757575758
Samson,3.8770000000000002,4.813,4.753
bruiser,3.8770000000000002,4.813,4.753
Taurus,3.8770000000000002,4.813,4.753
Bull,3.8770000000000002,4.813,4.753
dozer,4.81,4.05,5.64
unshakable,5.550000000000001,4.21304347826087,5.754782608695652
unassailable,5.844615384615386,3.953846153846153,6.0257692307692325
watertight,6.2,6.8,5.85
toreador,3.94,4.61,4.65
browbeat,5.306428571428571,4.6049999999999995,5.392142857142857
yob,4.768,4.5424,5.0432
bullyrag,5.306428571428571,4.6049999999999995,5.392142857142857
cracking,5.167428571428573,4.483,5.208571428571429
yobo,4.768,4.5424,5.0432
ballyrag,5.306428571428571,4.6049999999999995,5.392142857142857
corking,5.52,4.510322580645162,5.422580645161289
smashing,5.4009090909090895,4.548787878787878,5.372727272727272
hector,5.306428571428571,4.6049999999999995,5.392142857142857
swagger,5.073636363636364,4.499999999999999,5.284848484848485
yobbo,4.768,4.5424,5.0432
loll,4.489142857142857,4.196285714285715,4.845142857142856
layabout,4.470645161290323,4.279032258064516,4.798709677419355
chintzy,4.4402127659574475,4.390425531914892,4.821702127659574
rotter,4.383928571428571,4.422142857142856,4.767321428571429
tinny,4.4402127659574475,4.390425531914892,4.821702127659574
stinkpot,4.383928571428571,4.422142857142856,4.767321428571429
cadge,4.363783783783785,4.3327027027027025,4.7797297297297305
idler,4.470645161290323,4.279032258064516,4.798709677419355
git,4.383928571428571,4.422142857142856,4.767321428571429
humblebee,5.43,4.38,4.74
dislodge,4.9621568627451,4.212549019607842,5.210196078431373
rocky,4.081538461538462,4.706923076923077,4.544615384615385
jolty,4.0441666666666665,4.758333333333333,4.510000000000001
jolting,4.0441666666666665,4.758333333333333,4.510000000000001
clustering,4.615,4.0024999999999995,4.991875
megabucks,5.321851851851852,3.914814814814815,5.345185185185186
sheaf,5.007272727272728,3.8790909090909085,5.137272727272727
hokum,4.554444444444444,4.653333333333333,5.074444444444444
guff,4.098333333333333,4.507499999999999,4.794999999999999
nonsensicality,4.554444444444444,4.653333333333333,5.074444444444444
meaninglessness,4.554444444444444,4.653333333333333,5.074444444444444
buncombe,4.098333333333333,4.507499999999999,4.794999999999999
lam,5.023125000000001,4.321406250000001,5.306406250000001
scarper,5.024074074074075,4.2848148148148155,5.300185185185186
bunkum,4.098333333333333,4.507499999999999,4.794999999999999
loading,5.010000000000001,4.076842105263158,5.384736842105263
incumbrance,4.74783783783784,4.320810810810811,5.0872972972972965
encumbrance,4.74783783783784,4.320810810810811,5.0872972972972965
onus,4.938823529411765,4.097058823529412,5.35235294117647
burthen,4.770833333333333,3.880000000000001,5.281666666666666
bureaucratism,3.24,3.74,3.57
beefburger,6.9399999999999995,3.925,5.47
Burger,6.9399999999999995,3.925,5.47
interment,2.65,4.3,5.16
inhumation,2.65,4.3,5.16
entombment,2.65,4.3,5.16
sepulture,2.65,4.3,5.16
burying,2.65,4.3,5.16
spoof,4.111111111111111,4.4911111111111115,4.5344444444444445
pasquinade,4.111111111111111,4.4911111111111115,4.5344444444444445
sendup,4.111111111111111,4.4911111111111115,4.5344444444444445
lampoon,4.111111111111111,4.4911111111111115,4.5344444444444445
combust,4.848333333333333,4.926111111111111,4.979444444444445
cauterise,4.232999999999999,4.775,4.77
cauterize,4.232999999999999,4.775,4.77
incinerate,4.381111111111111,4.877777777777777,4.826666666666666
burning,4.21,5.083636363636363,4.552727272727273
